movieId,title,genres,,,,,,,,,,,,,,,,,,,,,,
1,Five tips to focus Better - (For OL and AL Students),HigherMaths|Sinhala|WM|OL|Accounting,,,,,,,,,,,,,,,,,,,,,,
2,Combined Maths (Easy),HigherMaths|WM|Accounting,,,,,,,,,,,,,,,,,,,,,,
3,Ancient Settlements - OL (History) - Easy,OL|Easy,,,,,,,,,,,,,,,,,,,,,,
4,Everything about ALs Part 1,OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
5,Picking the right bucket subjects for OLs,OL,,,,,,,,,,,,,,,,,,,,,,
6,Python Programming (Hard),Medium|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
7,OL - English (Essay writing),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
8,Mathematics in Music (For curious students),HigherMaths|WM,,,,,,,,,,,,,,,,,,,,,,
9,Basics of Physics,Medium,,,,,,,,,,,,,,,,,,,,,,
10,Logic Gates,Medium|HigherMaths|ICT,,,,,,,,,,,,,,,,,,,,,,
11,Everything about ALs Part 2,OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
12,Algebra for OL (Includes AL Maths) - Advance,OL|Pure,,,,,,,,,,,,,,,,,,,,,,
13,Musical Frequencies - Higher Mathematics - Sinhala MEdium,HigherMaths|Sinhala|WM,,,,,,,,,,,,,,,,,,,,,,
14,Welcome to ALs,AL,,,,,,,,,,,,,,,,,,,,,,
15,Basics of Combined Maths,Medium|HigherMaths|Easy,,,,,,,,,,,,,,,,,,,,,,
16,How to score A's in Als,Hard|AL,,,,,,,,,,,,,,,,,,,,,,
17,Introduction to Arts Subjects,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
18,Pre-state Era - OL (History),OL,,,,,,,,,,,,,,,,,,,,,,
19,Ancient Society of Sri Lanka - OL (History),OL,,,,,,,,,,,,,,,,,,,,,,
20,Everything you need to know about AL ICT,Medium|OL|Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
21,Python Programming - Build a scientific Calculator - OL (Hard) ICT,OL|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
22,Using pure Maths concepts in the Business Industry (Pure and Commerce) - Hard,Hard|AL|Pure|BusinessS|ICT,,,,,,,,,,,,,,,,,,,,,,
23,Number Systerms,Medium|Hard|ICT,,,,,,,,,,,,,,,,,,,,,,
24,Application of vectors,AL|Applied,,,,,,,,,,,,,,,,,,,,,,
25,Basic mathematics for ALs,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
26,Introduction to Business Studies,AL,,,,,,,,,,,,,,,,,,,,,,
27,Time Signatures - AL - Econ Music,WM|AL,,,,,,,,,,,,,,,,,,,,,,
28,Basic mathematics for Als part 2,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
29,Basics of bussiness - AL - Commerce,HigherMaths|AL|Accounting|BusinessS|Applied,,,,,,,,,,,,,,,,,,,,,,
30,2020 Accounting Paper Discussion,Hard|AL,,,,,,,,,,,,,,,,,,,,,,
31,Everything about ALs Part 3,AL,,,,,,,,,,,,,,,,,,,,,,
32,Applied Maths in Bussiness Industry - AL,BusinessS|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
34,Key Signatures - AL - Econ Music,WM|AL,,,,,,,,,,,,,,,,,,,,,,
35,How to score well in Als,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
36,How your Z-score is calculated,Hard|AL,,,,,,,,,,,,,,,,,,,,,,
37,General English - Past Participant Sentences,Documentary|English,,,,,,,,,,,,,,,,,,,,,,
38,Composers - OL (Western Music),WM|OL,,,,,,,,,,,,,,,,,,,,,,
39,Sinhala Literature - Lesson 1 (Explained),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
40,Introduction to Pure Mathematics - AL,AL,,,,,,,,,,,,,,,,,,,,,,
41,Introduction to Physics - AL,AL|Physics,,,,,,,,,,,,,,,,,,,,,,
42,Introduction to Applied Mathematics,Medium|Hard|AL,,,,,,,,,,,,,,,,,,,,,,
43,Picking the right subjects for Als,AL,,,,,,,,,,,,,,,,,,,,,,
44,Econ with higher maths,Medium|HigherMaths|Accounting,,,,,,,,,,,,,,,,,,,,,,
45,OL ICT to AL ICT (Everything you need to know),OL|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
46,Basics of Accounting - AL,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
47,Bussiness in ICT,BusinessS|ICT,,,,,,,,,,,,,,,,,,,,,,
48,Reneisance Period and music - AL - Econ Music,Sinhala|WM|AL|History|Easy,,,,,,,,,,,,,,,,,,,,,,
49,Everything you need to know about AL Physics,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
50,Artitifcial INtelligence in the Bussiness Industry - Hard (Bussiness/ICT),Hard|BusinessS|ICT,,,,,,,,,,,,,,,,,,,,,,
52,Easy Subjects in ALs - For OL Students,OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
53,Standard Deviation Part 1 - Higher Maths (AL),HigherMaths|AL,,,,,,,,,,,,,,,,,,,,,,
54,Sri Lankan Music (OL) - Western Music,WM|OL,,,,,,,,,,,,,,,,,,,,,,
55,How the Z-score is Calculated - AL,AL,,,,,,,,,,,,,,,,,,,,,,
57,Everything about University Selections,AL,,,,,,,,,,,,,,,,,,,,,,
58,General Knowledge for OL and AL Students - (Easy),OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
59,Maintaining the government-business relationship - AL (Bussiness),AL|BusinessS,,,,,,,,,,,,,,,,,,,,,,
60,Matrices ,HigherMaths|WM|Accounting,,,,,,,,,,,,,,,,,,,,,,
61,Database Management - AL (ICT),AL|ICT,,,,,,,,,,,,,,,,,,,,,,
62,How your Z-score effects the UNiveristy you are Selected to - AL,AL,,,,,,,,,,,,,,,,,,,,,,
63,Geometry (Hard - OL),OL|Hard,,,,,,,,,,,,,,,,,,,,,,
64,Geometry (Easy - OL),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
65,Scoring 9As in OL (Tips and Tricks),OL,,,,,,,,,,,,,,,,,,,,,,
66,Eigenvalues and Eigenvectors - AL - ICT/Applied,Medium|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
68,How our heart Works - OL - Science (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
69,The Pomodoro Method to focus- For OL Students,OL,,,,,,,,,,,,,,,,,,,,,,
70,Normalizations,Medium|OL|Pure|ICT,,,,,,,,,,,,,,,,,,,,,,
71,Basics of pure maths,Medium,,,,,,,,,,,,,,,,,,,,,,
72,Why OL and AL is so important,OL|AL,,,,,,,,,,,,,,,,,,,,,,
73,Why learn physics - AL,AL|Physics,,,,,,,,,,,,,,,,,,,,,,
74,General English Essay Writing - AL (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
76,Eigenvalues and Eigenvectors part 2 - AL - ICT/Applied,Medium|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
77,Sri Lanka Island First 2021 AL (His Story),Documentary,,,,,,,,,,,,,,,,,,,,,,
78,Trigonometry part 1,Medium|Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
79,web development - AL (ICT),AL|ICT,,,,,,,,,,,,,,,,,,,,,,
80,Sri Lankan Instruments - AL (Western Music),WM|AL,,,,,,,,,,,,,,,,,,,,,,
81,Hard Subjects to Easy Subjects - Guide to ALs - Video 1,Hard|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
82,How to get into your dream University,OL|AL,,,,,,,,,,,,,,,,,,,,,,
83,General English - Bar graphs,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
84,The best Universities to go to.,OL|AL,,,,,,,,,,,,,,,,,,,,,,
85,Angels and Insects (1995),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
86,Trigonometry part 2,Medium|HigherMaths|AL,,,,,,,,,,,,,,,,,,,,,,
87,Composing Music - OL (Western Music),WM|OL,,,,,,,,,,,,,,,,,,,,,,
88,Picking the right AL Subjects,OL,,,,,,,,,,,,,,,,,,,,,,
89,HTML/CSS Part 1,Medium|ICT,,,,,,,,,,,,,,,,,,,,,,
92,Association rule with Logic gate simplification - AL ,AL|Pure|ICT,,,,,,,,,,,,,,,,,,,,,,
93,Trigonometry (Easy) - OL,OL|Pure|Easy,,,,,,,,,,,,,,,,,,,,,,
94,Basic Mathematics for OL and AL students,OL|AL|Easy,,,,,,,,,,,,,,,,,,,,,,
95,HTML/CSS Part 2,Medium|HigherMaths|ICT,,,,,,,,,,,,,,,,,,,,,,
96,Basic Physics for OL and Al Students,OL|AL,,,,,,,,,,,,,,,,,,,,,,
97,Hard Subjects to Easy Subjects - Guide to ALs,Hard|AL,,,,,,,,,,,,,,,,,,,,,,
98,Operating System,Medium|ICT,,,,,,,,,,,,,,,,,,,,,,
99,How to get an Island Rank ,Documentary,,,,,,,,,,,,,,,,,,,,,,
100,Logic Gates Advanced - AL ,AL|ICT,,,,,,,,,,,,,,,,,,,,,,
101,Complex Differentiation - OL (Hard),HigherMaths|OL|Hard|Easy,,,,,,,,,,,,,,,,,,,,,,
102,General English - Tenses - OL,OL,,,,,,,,,,,,,,,,,,,,,,
103,Applied Maths in Bussiness Industry  part 2- AL,BusinessS|Applied|ICT,,,,,,,,,,,,,,,,,,,,,,
104,World War 1 - History (OL),OL,,,,,,,,,,,,,,,,,,,,,,
105,General IT - Paper Discussion 2010,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
107,Maths questions with sound frequencies - Higher Maths - OL,HigherMaths|WM|OL|History,,,,,,,,,,,,,,,,,,,,,,
108,Inventing the telescope - Documentary,Documentary,,,,,,,,,,,,,,,,,,,,,,
110,Measuring Instruments AL - Physics - (Medium),Medium|AL|Physics,,,,,,,,,,,,,,,,,,,,,,
111,Networking Questions - AL - ICT - (Hard),Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
112,Basics for O/L maths,Medium|HigherMaths|OL|Hard,,,,,,,,,,,,,,,,,,,,,,
113,Types of business organizations and formal conduct - AL - Bussiness,AL|BusinessS,,,,,,,,,,,,,,,,,,,,,,
114,General IT - Paper Discussion 2011,AL,,,,,,,,,,,,,,,,,,,,,,
116,History of Colombo University,Documentary,,,,,,,,,,,,,,,,,,,,,,
117,Pure Mathematics (Hard) - AL,Hard|AL,,,,,,,,,,,,,,,,,,,,,,
118,Sinhala Lesson 3 - OL (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
119,Ancient Civilizations - HIstory (OL),OL,,,,,,,,,,,,,,,,,,,,,,
121,Picking the right AL subjects part 2,AL,,,,,,,,,,,,,,,,,,,,,,
122,Parallelograms - Maths OL (Easy),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
123,Achievement of the goals of individuals and organizations - AL (Easy),AL|BusinessS|Easy,,,,,,,,,,,,,,,,,,,,,,
124,General IT - Paper Discussion 2012,AL,,,,,,,,,,,,,,,,,,,,,,
125,Parallelograms part 2- Maths OL (Easy),OL,,,,,,,,,,,,,,,,,,,,,,
126,Composing Music - AL (Western Music),HigherMaths|WM|Accounting,,,,,,,,,,,,,,,,,,,,,,
129,Pie in the Sky (1996),OL|Easy,,,,,,,,,,,,,,,,,,,,,,
130,General Knowledge Paper Discussion 2010 - AL,AL,,,,,,,,,,,,,,,,,,,,,,
131,General English - Paper Discussion 2010 - AL (Easy),AL|Easy,,,,,,,,,,,,,,,,,,,,,,
132,Python Programming for beginners ,ICT,,,,,,,,,,,,,,,,,,,,,,
135,Angles - OL,OL,,,,,,,,,,,,,,,,,,,,,,
137,Sir Albert Einstein (Documentry),Documentary,,,,,,,,,,,,,,,,,,,,,,
140,General IT - Paper discussion 2010,AL|Easy,,,,,,,,,,,,,,,,,,,,,,
141,Indices and Logarithms part 1,OL,,,,,,,,,,,,,,,,,,,,,,
144,Indices and Logarithms part 2,OL,,,,,,,,,,,,,,,,,,,,,,
145,Introduction to A/Ls,Medium|OL|Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
146,Time signatures further explained - Western Music,HigherMaths|WM,,,,,,,,,,,,,,,,,,,,,,
147,General IT - Paper Discussion 2012,AL,,,,,,,,,,,,,,,,,,,,,,
148,General IT - Paper Discussion 2013,AL,,,,,,,,,,,,,,,,,,,,,,
149,Database Systems - Creating a database from scratch - AL - ICT (Hard),Hard|AL|ICT,,,,,,,,,,,,,,,,,,,,,,
150,Matrices - AL - Higher Maths,HigherMaths|AL|English,,,,,,,,,,,,,,,,,,,,,,
151,Measurement,Medium|AL|Easy|Physics,,,,,,,,,,,,,,,,,,,,,,
152,Limits Explained - AL,AL|Pure,,,,,,,,,,,,,,,,,,,,,,
153,Introduction O/L Scince,Medium|HigherMaths|OL|Hard,,,,,,,,,,,,,,,,,,,,,,
154,General IT - Paper Discussion 2014,AL,,,,,,,,,,,,,,,,,,,,,,
155,Machanics with Higher Maths - Hard,HigherMaths|AL|Physics,,,,,,,,,,,,,,,,,,,,,,
156,Basic Mathematics for OL and Al Students,OL|AL,,,,,,,,,,,,,,,,,,,,,,
157,Work Power and Energy - OL - Physics,OL|Physics,,,,,,,,,,,,,,,,,,,,,,
158,The sine rule Explained,HigherMaths|WM,,,,,,,,,,,,,,,,,,,,,,
159,Contribution of money and financial institutions - AL (Hard),Hard|AL|BusinessS,,,,,,,,,,,,,,,,,,,,,,
160,Applied Maths in Accounting AL - Medium,Medium|HigherMaths|BusinessS|Applied,,,,,,,,,,,,,,,,,,,,,,
161,Electronics AL - Physics,AL|ICT|Physics,,,,,,,,,,,,,,,,,,,,,,
162,University of Jaffna - Documentry,Documentary,,,,,,,,,,,,,,,,,,,,,,
163,Introduction for Econ Part 1,Medium|Easy|Econ,,,,,,,,,,,,,,,,,,,,,,
164,ICT in business (Hard) ,Hard|Film-Noir|BusinessS|ICT,,,,,,,,,,,,,,,,,,,,,,
